Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,40.5000000000,µg/m3,2022-01-01 01:00:00 +01:00,2022-01-01 02:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 03:00:00 +01:00,2022-01-01 04:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,33.5000000000,µg/m3,2022-01-01 04:00:00 +01:00,2022-01-01 05:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,35.5000000000,µg/m3,2022-01-01 05:00:00 +01:00,2022-01-01 06:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,34.0000000000,µg/m3,2022-01-01 06:00:00 +01:00,2022-01-01 07:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,35.0000000000,µg/m3,2022-01-01 07:00:00 +01:00,2022-01-01 08:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 08:00:00 +01:00,2022-01-01 09:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 09:00:00 +01:00,2022-01-01 10:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 10:00:00 +01:00,2022-01-01 11:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,38.0000000000,µg/m3,2022-01-01 11:00:00 +01:00,2022-01-01 12:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,40.5000000000,µg/m3,2022-01-01 12:00:00 +01:00,2022-01-01 13:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,43.5000000000,µg/m3,2022-01-01 13:00:00 +01:00,2022-01-01 14:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,45.5000000000,µg/m3,2022-01-01 14:00:00 +01:00,2022-01-01 15:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,43.0000000000,µg/m3,2022-01-01 15:00:00 +01:00,2022-01-01 16:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,38.5000000000,µg/m3,2022-01-01 16:00:00 +01:00,2022-01-01 17:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,36.0000000000,µg/m3,2022-01-01 17:00:00 +01:00,2022-01-01 18:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,34.0000000000,µg/m3,2022-01-01 18:00:00 +01:00,2022-01-01 19:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,30.0000000000,µg/m3,2022-01-01 19:00:00 +01:00,2022-01-01 20:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,30.0000000000,µg/m3,2022-01-01 20:00:00 +01:00,2022-01-01 21:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,29.5000000000,µg/m3,2022-01-01 21:00:00 +01:00,2022-01-01 22:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,28.5000000000,µg/m3,2022-01-01 22:00:00 +01:00,2022-01-01 23:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,28.5000000000,µg/m3,2022-01-01 23:00:00 +01:00,2022-01-02 00:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,28.0000000000,µg/m3,2022-01-02 00:00:00 +01:00,2022-01-02 01:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,29.5000000000,µg/m3,2022-01-02 01:00:00 +01:00,2022-01-02 02:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,29.0000000000,µg/m3,2022-01-02 02:00:00 +01:00,2022-01-02 03:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,28.0000000000,µg/m3,2022-01-02 03:00:00 +01:00,2022-01-02 04:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,27.0000000000,µg/m3,2022-01-02 04:00:00 +01:00,2022-01-02 05:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,27.5000000000,µg/m3,2022-01-02 05:00:00 +01:00,2022-01-02 06:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,29.5000000000,µg/m3,2022-01-02 06:00:00 +01:00,2022-01-02 07:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,29.0000000000,µg/m3,2022-01-02 07:00:00 +01:00,2022-01-02 08:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,28.5000000000,µg/m3,2022-01-02 08:00:00 +01:00,2022-01-02 09:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,26.5000000000,µg/m3,2022-01-02 09:00:00 +01:00,2022-01-02 10:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,32.0000000000,µg/m3,2022-01-02 10:00:00 +01:00,2022-01-02 11:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,43.5000000000,µg/m3,2022-01-02 11:00:00 +01:00,2022-01-02 12:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,61.5000000000,µg/m3,2022-01-02 12:00:00 +01:00,2022-01-02 13:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,72.5000000000,µg/m3,2022-01-02 13:00:00 +01:00,2022-01-02 14:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,75.0000000000,µg/m3,2022-01-02 14:00:00 +01:00,2022-01-02 15:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,72.0000000000,µg/m3,2022-01-02 15:00:00 +01:00,2022-01-02 16:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,68.0000000000,µg/m3,2022-01-02 16:00:00 +01:00,2022-01-02 17:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,61.5000000000,µg/m3,2022-01-02 17:00:00 +01:00,2022-01-02 18:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,63.5000000000,µg/m3,2022-01-02 18:00:00 +01:00,2022-01-02 19:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,76.0000000000,µg/m3,2022-01-02 19:00:00 +01:00,2022-01-02 20:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,76.0000000000,µg/m3,2022-01-02 20:00:00 +01:00,2022-01-02 21:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,78.0000000000,µg/m3,2022-01-02 21:00:00 +01:00,2022-01-02 22:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,78.5000000000,µg/m3,2022-01-02 22:00:00 +01:00,2022-01-02 23:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,79.5000000000,µg/m3,2022-01-02 23:00:00 +01:00,2022-01-03 00:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,80.5000000000,µg/m3,2022-01-03 00:00:00 +01:00,2022-01-03 01:00:00 +01:00,1,3
